id,vid_short,videographer,videographer_ar
1,AH,Ahmed Hany,أحمد هاني
2,ARD,Abdel Rahman Dnewar,عبد الرحمن دنيور
3,AS,Ahmed Safy Eldin,أحمد صفي الدين
4,ASAY,Ahmed El Sayed,أحمد السيد
5,ASTY,Ahmed El Saaty,أحمد الساعاتي
6,ATB,Ahmed Tarek Bayoumi,أحمد طارق بيومي
7,BS,Billy Sims,بيلي سيمز
8,DH,Dia Hamed,ضياء حامد
9,EE,Esraa Elfeky,إسراء الفقي
10,EM,Emad Maher,عماد ماهر
11,FB,Fouad El Batrawi,فؤاد البطراوي
12,FH,Fady Hesham,فادي هشام
13,GH,Gilan Hefny,جيلان حفني
14,HE,Hagar Ezz Eldin,هاجر عز الدين
15,HS,Heinrich Schmidt,هينريك شميدت
16,JR,Joachim Rupp,جواكم روب
17,KN,Khaled Nadim,خالد نديم
18,MA,Mohamed Allam,محمد علام
19,MAG,Mohamed Abdelghany,محمد عبد الغني
20,ME,Mohamed Ezz,محمد عز
21,MH,Mohammad Helmy,محمد حلمي
22,MIS,Mohamed Ismail Shawky,محمد إسماعيل شوقي
23,MM,Mostafa Mawed,مصطفى معوض
24,MN,Mostafa Naguib,مصطفى نجيب
25,MNOU,Mohamed Nour,محمد نور
26,MNSR,Mahmoud Nasr,محمود نصر
27,MS,Mohamed Samir,محمد سمير
28,MW,Mai Elwakil,مي الوكيل
29,NA,Nadia Ahmed,نادية أحمد
30,UNKN,UNKNOWN,مجهول
31,OD,Oscar El Debs,أوسكار الدبس
32,RS,Rowan El Shimi,روان الشيمي
33,SE,Sayed Abo El Ezz,سيد أبو العز
34,SH,Sara Hamdy,سارة حمدي
35,SHAK,Mohamed Ashraf,محمد أشرف
36,SK,Seif Khaled,سيف خالد
37,SMCN,Simon McNair,سيمون مكنير